timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400445061;4095;1683400445061;4095
1683400445061;4095;1683400445061;4089
1683400445061;4095;1683400445061;4093
1683400445062;4094;1683400445062;4093
1683400445062;4085;1683400445062;4093
1683400445063;4085;1683400445063;4092
1683400445063;4091;1683400445063;4095
1683400445064;4084;1683400445064;4090
1683400445064;4091;1683400445064;4095
1683400445065;4088;1683400445065;4094
1683400445065;4093;1683400445065;4095
1683400445065;4092;1683400445065;4095
1683400445066;4093;1683400445066;4087
1683400445066;4090;1683400445066;4091
1683400445067;4087;1683400445067;4091
1683400445068;4095;1683400445068;4091
1683400445068;4095;1683400445068;4095
1683400445068;4087;1683400445068;4087
1683400445069;4091;1683400445069;4095
1683400445069;4085;1683400445069;4095
1683400445070;4095;1683400445070;4091
1683400445070;4089;1683400445070;4092
1683400445071;4084;1683400445071;4092
1683400445071;4086;1683400445071;4090
1683400445072;4094;1683400445072;4089
1683400445072;4095;1683400445072;4092
1683400445073;4091;1683400445073;4095
1683400445073;4089;1683400445073;4093
1683400445074;4089;1683400445074;4090
1683400445074;4091;1683400445074;4087
1683400445074;4091;1683400445074;4094
1683400445075;4091;1683400445075;4091
1683400445075;4083;1683400445075;4083
1683400445076;4093;1683400445076;4092
1683400445076;4092;1683400445076;4088
1683400445077;4093;1683400445077;4093
1683400445077;4093;1683400445077;4095
1683400445078;4090;1683400445078;4093
1683400445078;4095;1683400445078;4091
1683400445079;4087;1683400445079;4093
1683400445079;4086;1683400445079;4095
1683400445080;4090;1683400445080;4090
1683400445080;4089;1683400445080;4089
1683400445081;4095;1683400445081;4095
1683400445081;4084;1683400445081;4093
1683400445082;4093;1683400445082;4088
1683400445082;4091;1683400445082;4092
1683400445082;4091;1683400445082;4085
1683400445083;4093;1683400445083;4095
1683400445083;4095;1683400445083;4091
1683400445084;4083;1683400445084;4091
1683400445085;4095;1683400445085;4087
1683400445085;4095;1683400445085;4093
1683400445086;4085;1683400445086;4091
1683400445086;4089;1683400445086;4095
1683400445086;4091;1683400445086;4091
1683400445087;4091;1683400445087;4091
1683400445087;4092;1683400445087;4095
1683400445088;4095;1683400445088;4090
1683400445088;4095;1683400445088;4095
1683400445089;4089;1683400445089;4095
1683400445089;4094;1683400445089;4092
1683400445091;4090;1683400445091;4093
1683400445092;4091;1683400445092;4089
1683400445092;4095;1683400445092;4091
1683400445093;4095;1683400445093;4087
