time	V(vout)
8.961309523809521e-004	1.077235e+000
8.964285714285711e-004	1.077401e+000
8.988095238095234e-004	1.074838e+000
8.991071428571425e-004	1.075014e+000
9.020833333333330e-004	1.081626e+000
9.023809523809520e-004	1.081790e+000
9.047619047619043e-004	1.079217e+000
9.050595238095234e-004	1.079391e+000
9.080357142857140e-004	1.085991e+000
9.083333333333330e-004	1.086154e+000
9.107142857142853e-004	1.083571e+000
9.110119047619044e-004	1.083743e+000
9.139880952380949e-004	1.090330e+000
9.142857142857139e-004	1.090491e+000
9.166666666666662e-004	1.087898e+000
9.169642857142853e-004	1.088069e+000
9.199404761904759e-004	1.094643e+000
9.202380952380950e-004	1.094803e+000
9.226190476190472e-004	1.092199e+000
9.229166666666663e-004	1.092369e+000
9.258928571428568e-004	1.098930e+000
9.261904761904759e-004	1.099089e+000
9.285714285714281e-004	1.096475e+000
9.288690476190473e-004	1.096644e+000
9.318452380952378e-004	1.103192e+000
9.321428571428569e-004	1.103350e+000
9.345238095238091e-004	1.100726e+000
9.348214285714282e-004	1.100894e+000
9.377976190476187e-004	1.107429e+000
9.380952380952378e-004	1.107585e+000
9.404761904761900e-004	1.104951e+000
9.407738095238092e-004	1.105118e+000
9.437499999999997e-004	1.111640e+000
9.440476190476188e-004	1.111796e+000
9.464285714285711e-004	1.109152e+000
9.467261904761901e-004	1.109317e+000
9.497023809523806e-004	1.115827e+000
9.499999999999997e-004	1.115981e+000
9.523809523809520e-004	1.113327e+000
9.526785714285710e-004	1.113491e+000
9.556547619047615e-004	1.119989e+000
9.559523809523806e-004	1.120142e+000
9.583333333333329e-004	1.117478e+000
9.586309523809519e-004	1.117640e+000
9.616071428571425e-004	1.124126e+000
9.619047619047616e-004	1.124277e+000
9.642857142857139e-004	1.121604e+000
9.645833333333329e-004	1.121765e+000
9.675595238095234e-004	1.128238e+000
9.678571428571425e-004	1.128389e+000
9.702380952380948e-004	1.125705e+000
9.705357142857138e-004	1.125865e+000
9.735119047619044e-004	1.132326e+000
9.738095238095235e-004	1.132476e+000
9.761904761904758e-004	1.129782e+000
9.764880952380948e-004	1.129941e+000
9.794642857142853e-004	1.136390e+000
9.797619047619043e-004	1.136538e+000
9.821428571428568e-004	1.133835e+000
9.824404761904757e-004	1.133993e+000
9.854166666666663e-004	1.140430e+000
9.857142857142853e-004	1.140577e+000
